index,RF_Regressor,train_set,AdaBoost_Regressor,XGB_Regressor,ensamble
235,1349.96335460081,833.0,1380.0,885.50006,1205.1544718786554
235,1144.5026078299418,1166.0,1207.0,1074.2158,1141.906142714147
235,1181.484651221936,1082.0,1252.0,1062.8875,1165.4573674646037
235,1304.2429877880916,1252.0,1423.0,1315.896,1347.7129946272805
235,4104.745400793652,3805.0,3805.0,4018.016,3975.920504691634
235,4334.803682539682,6176.0,6176.0,5585.5493,5365.450999648644
235,3403.083613211952,3196.0,3196.0,3339.3604,3312.814654924817
235,3510.6929404761904,2793.0,2793.0,3094.965,3132.8860094556053
235,2510.0737247899156,2583.0,2283.0,2417.8333,2403.635658914347
235,2365.0673597105506,2104.0,2280.0,2182.4453,2275.8375574035167
235,2394.421966853408,2280.0,2280.0,2149.932,2274.784617206344
235,3867.980626984129,3270.0,3270.0,3345.5122,3494.4976113384596
235,4088.7440714285726,4872.0,4872.0,4638.127,4532.957008184524
235,3144.171210944027,3412.0,3412.0,3462.4612,3339.5441308615505
235,2682.416484126985,2485.0,2793.0,2422.8645,2632.76032869337
235,1998.8179520795798,1861.0,2110.0,2015.4692,2041.42906345361
235,1961.2158972839027,1963.0,2110.0,1955.9001,2009.0386812560926
235,1965.7019250616806,2110.0,2280.0,2007.5436,2084.415168054414
235,1460.237070039328,1602.0,1602.0,1571.869,1544.7020295313384
235,1780.1256440919883,1875.0,1875.0,1981.8955,1879.0070506348293
235,1773.29986138573,2008.0,2008.0,2048.3438,1943.2145371285767
235,1439.9560678734065,1380.0,1602.0,1389.5686,1477.1748904630106
235,1131.8547305643133,983.0,1207.0,1021.3642,1120.0729757805523
235,1212.9865540234628,1180.0,1219.0,1178.0011,1203.3292175520917
235,1286.3946065427026,1358.0,1358.0,1371.6145,1338.6697028319425
235,1333.7326686701886,1396.0,1451.0,1372.3561,1385.6962492572504
235,1773.0123034338465,2145.0,1973.0,2100.7786,1948.9302892956573
235,1775.280358989402,2118.0,2008.0,2085.1091,1956.1298299495922
235,1431.5656845246974,1382.0,1593.0,1376.7393,1467.1016474457326
235,1129.392583738916,959.0,1207.0,1007.73706,1114.709881428597
235,1230.5953814044153,1179.0,1252.0,1200.1647,1227.5866847519926
235,1260.971830083051,1326.0,1393.0,1316.493,1323.4882906917462
235,3496.367888888889,3258.0,3258.0,3202.7312,3319.033030020255
235,3846.282432539682,4006.0,4006.0,4112.482,3988.2547887111436
235,3759.283976190476,4064.0,4006.0,4035.3647,3933.549574094742
235,3203.3360873015863,2879.0,2879.0,2905.637,2995.991016730737
235,2439.91647875817,2283.0,2283.0,2286.0508,2336.3224200027234
235,2444.8342168534077,2495.0,2578.0,2494.296,2505.7100384303026
235,2462.996193043884,2592.0,2592.0,2582.0996,2545.6986008062945
235,1643.4817280214534,1451.0,1849.0,1519.2355,1670.572400551422
235,1944.2980000811883,2130.0,2130.0,2073.0369,2049.1116217718545
235,1939.7970635732518,2125.0,2128.0,2170.6526,2079.4832171546254
235,1668.8537326179803,1592.0,1592.0,1688.185,1649.6795970705768
235,1560.8028536792924,1207.0,1310.0,1441.6357,1437.4795319555976
235,1766.6530999656854,2968.0,2968.0,2405.8047,2380.152595821895
235,1534.206503175207,1133.0,1444.0,1410.056,1462.754177816215
235,1524.3677976585016,1444.0,1466.0,1435.439,1475.2689208340837
235,1877.423033450596,1947.0,2128.0,1918.982,1974.8016963715527
235,1864.50384694266,2071.0,2130.0,2055.146,2016.5499476788034
235,1595.4669074292801,1346.0,1592.0,1371.2249,1519.5639203149683
235,1143.7531463731762,953.0,1245.0,916.42145,1101.7248647090275
235,1249.5357366077365,1162.0,1245.0,1150.8331,1215.1229554968497
235,1357.619382148004,1317.0,1444.0,1310.7782,1370.7991934633972
235,1426.1396365880084,1509.0,1466.0,1434.6813,1442.2736370006903
235,1879.373458181095,1973.0,2089.0,2022.5537,1996.9757230395317
235,1895.6555811969683,2195.0,2127.0,2186.9526,2069.869405971906
235,1530.1405738625203,1529.0,1592.0,1521.6879,1547.9428133578192
235,1117.6509073621871,825.0,1207.0,858.3352,1060.9953708134374
235,1186.295811088811,1062.0,1245.0,1094.9487,1175.4148471858537
235,1338.4865601936547,1092.0,1323.0,1104.3254,1255.2706665489266
235,1399.6268183684867,1245.0,1466.0,1309.8304,1391.8190875681414
235,1902.7282267254236,1910.0,2002.0,1923.4148,1942.7143405490995
235,1919.9797425984393,2066.0,2089.0,1962.9604,1990.64673060573
235,1928.1770575533665,1504.0,1504.0,1732.0977,1721.424904601122
235,1837.1533859686283,1423.0,1423.0,1513.2356,1591.1296605572509
235,2110.510967909511,3082.0,3082.0,2829.6704,2674.060459355254
235,2178.7916645184573,3477.0,3082.0,3199.6155,2820.1357143446944
235,3639.1192759103646,3081.0,3270.0,3146.1426,3351.7539513451215
235,3715.37383146592,3959.0,3959.0,3907.4807,3860.618181452182
235,3100.0427143742295,3672.0,3672.0,3648.8828,3473.64184229141
235,2525.9444973251943,2292.0,2485.0,2262.5984,2424.514295332356
235,1906.8882030955072,1680.0,1979.0,1756.2704,1880.7195296125649
235,1947.6745284923322,1967.0,2195.0,1984.4684,2042.380970760465
235,1961.2266554764592,1954.0,2195.0,1945.2122,2033.8129378931947
235,1392.2035004697186,1382.0,1504.0,1390.7655,1428.9896677998022
235,1956.784171169868,1960.0,2118.0,1969.6093,2014.797808033185
235,1981.3317029159,2171.0,2128.0,2176.4368,2095.2561568313417
235,1694.9791638354197,1534.0,1680.0,1484.5094,1619.829521083161
235,1246.1265051454257,1143.0,1382.0,1104.9415,1244.356011155246
235,1303.782324565371,1196.0,1423.0,1240.834,1322.5387696467903
235,1335.2724563471745,1346.0,1451.0,1307.0339,1364.4354639646833
235,4136.95104178338,4069.0,4069.0,4073.0654,4093.0054904902936
235,4237.97844257703,4812.0,4519.0,4762.3066,4506.428361067344
235,4155.732589402428,4519.0,4519.0,4480.2783,4385.003636571643
235,3008.1367289582,3095.0,3095.0,3115.4175,3072.8514031423165
235,2523.093342994232,2496.0,2496.0,2504.6782,2507.9238552168276
235,2606.416486699083,2715.0,2496.0,2729.841,2610.752517050736
235,2651.575375587972,2711.0,2711.0,2730.65,2697.7417593105743
235,1422.310900271306,1466.0,1618.0,1421.5836,1487.2981728117895
235,1972.3402902174869,2089.0,2089.0,2152.3826,2071.2409528589537
235,2025.6605713387755,2170.0,2170.0,2214.7603,2136.8069417483416
235,1726.1455414863633,1643.0,1723.0,1640.0048,1696.3834340761834
235,1235.2347500557437,1057.0,1323.0,1048.6841,1202.3062773623312
235,1260.328522829987,1132.0,1323.0,1035.6664,1206.3316348886415
235,1363.8611515748087,1289.0,1391.0,1239.1733,1331.344830472853
235,1389.2926827103397,1323.0,1617.0,1307.348,1437.8802350570925
235,2081.505307354394,2287.0,2091.0,2310.2666,2160.9239696389645
235,2036.2435586055074,2091.0,2091.0,2248.5493,2125.264291670586
235,1752.659204353638,1664.0,1723.0,1634.5406,1703.3999512559003
235,1372.8989418840945,1118.0,1323.0,1174.0963,1289.9984184535524
235,1437.5095779217218,1238.0,1436.0,1350.2814,1407.9303166640113
235,1547.6863751491908,1436.0,1651.0,1501.6254,1566.7705804533762
235,1671.0132400737393,1849.0,1849.0,1880.6348,1800.2160018995799
235,2646.244415992189,3165.0,3165.0,3228.8223,3013.355560539063
235,2659.318154087427,4201.0,4201.0,3661.5408,3507.2863085239337
235,2227.0002803178577,2286.0,2286.0,2333.89,2282.296724298661
235,1569.9887877166248,1315.0,1323.0,1327.726,1406.904913288354
235,1291.7283530518873,1085.0,1315.0,1178.4585,1261.7289497152124
235,1346.8855364209924,1236.0,1382.0,1268.0775,1332.3210170231432
235,4586.41461321195,4930.0,4930.0,4847.5103,4787.974955706067
235,4545.207144957983,5020.0,4930.0,5071.3,4848.8356498818275
235,3960.519373056188,4435.0,4435.0,4480.4834,4292.00092383123
235,3063.7379502845165,2804.0,2804.0,2828.956,2898.8980016573387
